"E - Of the initial 2015 cohort, how",179 [18%],160 [17%],750 [18%],"1,089 [19%]"
many completed the program in,,,,(formerly B8)
more than four years but in five,,,,
"years or less (after Aug. 31, 2019",,,,
"and by Aug. 31, 2020)",,,,
"F - Of the initial 2015 cohort, how",39 [4%],43 [5%],116 [3%],198 [4%]
many completed the program in,,,,(formerly B9)
more than five years but in six,,,,
"years or less (after Aug. 31, 2020",,,,
"and by Aug. 31, 2021)",,,,
G - Total graduating within six,644,649,"3,264","4,557"
"years (sum of lines D, E, and F)",,,,(formerly B10)
H - Six-year graduation rate for,66%,70%,76%,74%
2015 cohort (G divided by C),,,,(formerly B11)
"FIRST-TIME, FIRST YEAR STUDENT APPLICANTS",TOTAL,
"Total first-time, first-year men who applied","26,690",
"Total first-time, first-year women who applied","28,170",
"Total first-time, first-year of another gender who applied",1*,
"Total first-time, first-year men who were admitted","19,686",74%
"Total first-time, first-year women who were admitted","23,729",84%
"Total first-time, first-year of another gender who were admitted",1*,
"Total full-time, first-time, first-year men who enrolled","3,559",
"",,18%
"Total part-time, first-time, first-year men who enrolled",52,
"Total full-time, first-time, first-year women who enrolled","3,453",
"",,15%
"Total part-time, first-time, first-year women who enrolled",42,
"Total full-time, first-time, first-year of another gender who enrolled",0,
"Total part-time, first-time, first-year of another gender who enrolled",0,
"",,
"Total first-time, first-year (degree-seeking) who applied","54,861",
"Total first-time, first-year (degree-seeking) who were admitted","43,416",79%
"Total first-time, first-year (degree-seeking) enrolled","7,106",16%
"","First-time,","First-time,",Percent,Total,Full,Part,Yield
"",first-year,first-year,Admitted,"first-time,",Time,Time,
"",applicants,admitted,,first-year,,,
"",,applicants,,enrolled,,,
"",,,,applicants,,,
In-state,"14,372","13,272",92%,"3,759","3,707",52,28%
Colorado,,,,,,,
Out of,"40,285","30,143",75%,"3,347","3,305",42,11%
state,,,,,,,
Total,"54,657","43,415",79%,"7,106","7,012",94,
WAITING LIST,TOTAL
Number of qualified applicants offered a place on waiting list:,"6,570"
Number accepting a place on the waiting list:,"2,590"
Number of wait-listed students admitted:,101
"",Units Required,Units
"",,Recommended
Total academic units,,17
English,,4*
Mathematics,,4**
Science,,3***
"Of these, units that must be lab",,2
Foreign language,,1****
Social Studies (at least one unit of,,3
U.S. or world history),,
History,,1
Academic electives,,2*****
Computer Science,,
Visual/Performing Arts,,
Other (specify),,
Rigor of secondary school record
Class rank
Academic GPA
Standardized test scores
Application Essay
Recommendation
Nonacademic
Interview
Extracurricular activities
Talent/ability
Character/personal qualities
First generation
Alumni/ae relation
Geographical residence
State residency
Religious affiliation/commitment
Racial/ethnic status
Volunteer work
Work experience
Level of applicant’s interest
"",
G.,"Please indicate which tests your institution uses for placement (e.g., state tests):"
"",SAT
"",ACT
"",AP
"",CLEP
Assessment,25th,50th,75th,Mean
"",Percentile,Percentile,Percentile,
"",Score,Score,Score,
SAT Composite,1170,1280,1380,1270
SAT Evidence-Based Reading and Writing,590,640,690,635
SAT Math,570,640,700,635
ACT Composite,26,29,31,28
ACT Math,24,27,30,27
ACT English,24,29,33,28
ACT Writing,N/A,,N/A,N/A
ACT Science,N/A,,N/A,N/A
ACT Reading,N/A,,N/A,N/A
Score,SAT Evidence-Based,SAT Math
Range,Reading and Writing,
700-800,23%,26%
600-699,50%,41%
500-599,23%,27%
400-499,5%,5%
300-399,<1%,<1%
200-299,0%,0%
"",100%,100%
Score Range,SAT Composite
1400-1600,22%
1200-1399,49%
1000-1199,24%
800-999,5%
600-799,<1%
400-599,0%
"",100%
Score Range,ACT Composite,ACT English,ACT Math,ACT Reading,ACT Science
30-36,43%,43%,26%,,
24-29,41%,37%,52%,,
18-23,14%,15%,17%,,
12-17,2%,4%,5%,,
6-11,0%,<1%,0%,,
Below 6,0%,0%,0%,,
"",100%,100%,100%,,
"",Assessment,,,Percen,
Percent in top tenth of high school graduating class,26%,,,,
Percent in top quarter of high school graduating class,54%,,,,
Percent in top half of high school graduating class,85%,,,,
Percent in bottom half of high school graduating class,15%,,,,
Percent in bottom quarter of high school graduating class,2%,,,,
"Percent of total first-time, first-year students who submittedhigh school class rank:",44%,,,,
Score Range
Score Range
Score Range,Percent
Score Range,Percent
Percent who had GPA of 4.0,34%
Percent who had GPA between 3.75 and 3.99,30%
Percent who had GPA between 3.50 and 3.74,18%
Percent who had GPA between 3.25 and 3.49,14%
Percent who had GPA between 3.00 and 3.24,9%
Percent who had GPA between 2.50 and 2.99,5%
Percent who had GPA between 2.0 and 2.49,<1%
Percent who had GPA between 1.0 and 1.99,0%
Percent who had GPA below 1.0,0%
"",100%
Percent
Percent
"",Date
Application closing date (fall),January 15
Priority Date,November 15
"",Applicants,Admitted,Percent,Total,Full,Part
"",,Applicants,Admitted,Enrolled,Time,Time
"",,,,Applicants,,
Men,"2,328","1,672",72%,782,687,95
Women,"1,766","1,309",74%,570,515,55
Another Gender,1*,0,0%,0,0,0
Total,"4,095","2,981",76%,"1,352","1,202",150
"",Applicants,Admitted,Percent,Total,Full,Part
"",,Applicants,Admitted,Enrolled,Time,Time
"",,,,Applicants,,
In-state,"1,246","1,046",86%,749,654,95
Colorado,,,,,,
Out of,"2,839","1,935",72%,603,548,55
state,,,,,,
Total,"4,085*","2,981",76%,"1,352","1,202",150
"",Required,Recommended,Recommended,Required,Not required
"",of All,of All,of Some,of Some,
High school transcript,X,,,,
College transcript(s),X,,,,
Essay or personal statement,X,,,,
Interview,,,,,X
Standardized test scores,,,,,X
Statement of good standing,,,,,X
from prior institution(s),,,,,
Letter of recommendation,,,,,X
"",Priority Date,Closing,Notification,Reply Date,Rolling
"",,Date,Date,,Admission
Fall*,March 15,June 1,,varies; see,X
"",,,,confirmation,
"",,,,instructions on,
"",,,,application status,
"",,,,page,
Winter,,,,,
Spring*,,October 1,,varies; see,X
"",,,,confirmation,
"",,,,instructions on,
"",,,,application status,
"",,,,page,
Summer*,,March 15,,varies; see,X
"",,,,confirmation,
"",,,,instructions on,
"",,,,application status,
"",,,,page,
"","First-time, first-year students",,Undergraduates
Percent who are from out of state (exclude,,,
international/nonresidents from the numerator and,48%,,45%
denominator),,,
Percent of men who join fraternities,,,
Percent of women who join sororities,,,
"Percent who live in college-owned, -operated, or -affiliated",,,
housing,94%,,27%
Percent who live off campus or commute,6%,,73%
Percent of students age 25 and older,0%,,9%
Average age of full-time students,18.1,,20.1
Average age of all students (full- and part-time),18.1,,20.4
"",FIRST-YEAR,UNDERGRADUATES
PRIVATE INSTITUTION,,
Tuition:,,
PUBLIC INSTITUTION,,
Tuition: In-district:,N/A,N/A
Tuition: In-state (out-of-district):,,
Tuition: Out-of-state:,,
Tuition: Non-resident,,
FOR ALL INSTITUTIONS,,
Required Fees:,,
Room and Board: (on-campus),,
Room Only:(on-campus),,
Board Only:(on-campus meal plan),,
For in-state residents,Minimum = 12,Maximum = 18
For out of state,Minimum = 1,Maximum = n/a
""
""
""
""
"",,Residents,Residents,,Commuters,,,Commuters,
"",,,,,(living at home),(not living at home),,,
Books and supplies:,,,,,,,,,
Room only:,,,,,,,,,
Board only:,,,,,,,,,
Room and board total*,,,,,,,,,
Transportation:,,,,,,,,,
Other expenses:,,,,,,,,,
PRIVATE INSTITUTIONS:,
PUBLIC INSTITUTIONS,
In-district:,
In-state (out-of-district):,
Out-of-state:,
NONRESIDENTS:,
"",Need-based,Non-need-based
"",(Include non-need-based,(Exclude non-need-based aid
"",aid use to meet need.),use to meet need.)
"",$,$
Scholarships/Grants,,
Federal,"$24,632,298","$4,000"
"State (i.e., all states, not only the state in","$13,398,201","$54,899"
which your institution is located),,
"Institutional: Endowed scholarships, annual","$59,456,060","$39,621,703"
"gifts and tuition funded grants, awarded by",,
"the college, excluding athletic aid and",,
tuition waivers (which are reported below).,,
Scholarships/grants from external sources,"$5,114,116","$15,477,628"
"(e.g., Kiwanis, National Merit) not awarded",,
by the college,,
Total Scholarships/Grants,"$102,600,676","$55,158,230"
Self-Help,,
Student loans from all sources (excluding,"$43,446,037","$62,273,513"
parent loans),,
Federal Work-Study,"$855,051",
"State and other (e.g., institutional) work-","$3,786,699","$125,534"
study/employment (Note: Excludes Federal,,
Work-Study captured above.),,
Total Self-Help,"$48,087,787","$62,399,047"
Parent Loans,"$20,520,387","$33,627,294"
Tuition Waivers,,
Note: Reporting is optional. Report tuition,,
waivers in this row if you choose to report,,
them. Do not report tuition waivers,,
elsewhere.,,
Athletic Awards,"$2,584,503","$7,621,429"
TOTAL,"$188,612,524","$158,806,000"
"",,Full-time,Full-time,Less Than
"",,"First-time,",Undergrad,Full-time
"",,First-Year,(Incl. Fresh),Undergrad
"",Number of degree-seeking undergraduate,,,
A,students (CDS Item B1 if reporting on Fall,"7,018","28,603","1,984"
"",2022 cohort),,,
B,Number of students in line a who applied for need-based financial aid,"5,090","14,804",816
C,Number of students in line b who were determined to have financial need,"2,602","9,141",636
D,Number of students in line c who were awarded any financial aid,"2,535","8,907",563
"",Number of students in line d who were,,,
E,awarded any need-based scholarship or,"2,016","7,212",388
"",grant aid,,,
F,Number of students in line d who were awarded any need-based self-help aid,"1,941","6,912",457
"",Number of students in line d who were,,,
G,awarded any non-need-based scholarship or,159,402,3
"",grant aid,,,
"",Number of students in line d whose need,,,
H,"was fully met (exclude PLUS loans, unsubsidized loans, and private alternative",842,"3,017",140
"",loans),,,
"","On average, the percentage of need that was",,,
"",met of students who were awarded any,,,
"",need-based aid. Exclude any aid that was,,,
I,awarded in excess of need as well as any,72%,74%,67%
"",resources that were awarded to replace EFC,,,
"","(PLUS loans, unsubsidized loans, and",,,
"",private alternative loans),,,
"",The average financial aid package of those,,,
"",in line d. Exclude any resources that were,,,
J,"awarded to replace EFC (PLUS loans,","$19,404","$19,670","$14,774"
"","unsubsidized loans, and private alternative",,,
"",loans),,,
K,Average need-based scholarship or grant award of those in line e,"$14,314","$13,657","$9,221"
"",,Full-time,Full-time,Less Than
"",,"First-time,",Undergrad,Full-time
"",,First-Year,(Incl. Fresh),Undergrad
"",Average need-based self-help award,,,
L,"(excluding PLUS loans, unsubsidized loans, and private alternative loans) of those in line","$5,156","$6,437","$7,665"
"",f,,,
"",Average need-based loan (excluding PLUS,,,
M,"loans, unsubsidized loans, and private alternative loans) of those in line f who were","$4,939","$6,052","$7,459"
"",awarded a need-based loan,,,
"",,Full-time,Full-time,Less Than
"",Non-need-based awards,"First-time,",Undergrad,Full-time
"",,First-Year,(Incl. Fresh),Undergrad
"",Number of students in line a who had no,,,
"",financial need and who were awarded,,,
N,institutional non-need-based scholarship or,"2,840","9,716",295
"",grant aid (exclude those who were awarded,,,
"",athletic awards and tuition benefits),,,
"",Average dollar amount of institutional non-,,,
O,need-based scholarship and grant aid,"$9,250","$10,199","$8,530"
"",awarded to students in line n,,,
"",Number of students in line a who were,,,
P,awarded an institutional non-need-based,77,318,5
"",athletic scholarship or grant,,,
"",Average dollar amount of institutional non-,,,
Q,need-based athletic scholarships and grants,"$28,971","$28,292","$16,838"
"",awarded to students in line p,,,
"",Source/Type of Loan,Number in,Percent of the,Average per-
"",,the class,class (defined,undergraduate-
"",,(defined in,above) who,borrower
"",,H4 above),borrowed from,cumulative
"",,who,the types of loans,principal borrowed
"",,borrowed,specified in the,from the types of
"",,from the,first,loans specified in
"",,types of,column (nearest,the first
"",,loans,1%),column (nearest
"",,specified in,,$1)
"",,the first,,
"",,column,,
A,"Any loan program: Federal Perkins,",,,
"",Federal Stafford Subsidized and,,,
"","Unsubsidized, institutional, state, private",,,
"","loans that your institution is aware of, etc.",,,
"",Include both Federal Direct Student Loans,,,
"",and Federal Family Education Loans.,"1,861",36%,"$29,719"
B,"Federal loan programs: Federal Perkins,",,,
"",Federal Stafford Subsidized and,,,
"",Unsubsidized. Include both Federal Direct,,,
"",Student Loans and Federal Family,,,
"",Education Loans.,"1,769",34%,"$18,241"
C,Institutional loan programs.,N/A,N/A,N/A
D,State loan programs.,N/A,N/A,N/A
E,Private student loans made by a bank or,,,
"",lender.,470,9%,"$49,019"
"",,
"",Non-Need,
"",Based,Need-Based
Academics,☒,☒
Alumni affiliation,☒,☒
Art,☒,☒
Athletics,☒,☒
Job skills,☐,☐
ROTC,☒,
Leadership,☒,☒
Minority status,☐,☐
Music/drama,☒,☒
Religious affiliation,☐,☐
State/district residency,☒,☒
"",,Full-time,Part-time
A,"Instructional faculty in preclinical and clinical medicine, faculty who",Exclude,Include only if they
"","are not paid (e.g., those who donate their services or are in the",,teach one or more
"","military), or research-only faculty, post-doctoral fellows, or pre-",,non-clinical credit
"",doctoral fellows,,courses
B,"Administrative officers with titles such as dean of students, librarian,",Exclude,Include if they teach
"","registrar, coach, and the like, even though they may devote part of",,one or more non-
"",their time to classroom instruction and may have faculty status,,clinical credit courses
C,Other administrators/staff who teach one or more non-clinical credit,Exclude,Include
"",courses even though they do not have faculty status,,
D,Undergraduate or graduate students who assist in the instruction of,Exclude,Exclude
"","courses, but have titles such as teaching assistant, teaching fellow,",,
"",and the like,,
E,Faculty on sabbatical or leave with pay,Include,Exclude
F,Faculty on leave without pay,Exclude,Exclude
G,Replacement faculty for faculty on sabbatical leave or leave with pay,Exclude,Include
"",,Full-time,Part-time,Total
A,Total number of instructional faculty,"1,660",611,"2,271"
B,Total number who are members of minority groups,337,97,434
C,Total number who are women,688,265,953
D,Total number who are men,972,345,"1,317"
E,Total number who are nonresident (international),42,12,54
F,"Total number with doctorate, or other terminal degree","1,435",132,"1,567"
G,Total number whose highest degree is a master’s but,169,102,271
"",not a terminal master’s,,,
H,Total number whose highest degree is a bachelor’s,24,77,101
I,Total number whose highest degree is unknown or,32,298,330
"","other (Note: Items f, g, h, and i must sum up to item a.)",,,
J,Total number in stand-alone graduate/professional,39,27,66
"",programs in which faculty teach virtually only graduate-,,,
"",level students,,,
"",2-9,10-19,20-29,30-39,40-49,50-99,100+,Total
CLASS SECTIONS,268,"1,163",779,446,231,376,261,"3,524"
% of total class sections,7.6%,33.0%,22.1%,12.7%,6.6%,10.7%,7.4%,
Cumulative %,7.6%,40.6%,62.7%,75.4%,82.0%,92.7%,100%,
"",2-9,10-19,20-29,30-39,40-49,50-99,100+,Total
CLASS SUB- SECTIONS,146,470,771,187,59,24,3,"1,660"
% of total class subsections,8.8%,28.3%,46.4%,11.3%,3.6%,1.4%,0.2 %,
Cumulative %,8.8%,37.1%,83.5%,94.7%,98.4%,99.8%,100%,
Category,Diploma/,Associ,Bachelor’s,Bachelor’s,CIP 2021
"",Certificat,ate,(N),(%),Categories to
"",es,,,,Include
Agriculture,,,--,--,01
Natural resources and conservation,,,214,2.9,03
Architecture,,,150,2.1,04
"Area, ethnic, and gender studies",,,54,0.7,05
Communication/journalism,,,734,10.1,09
Communication technologies,,,--,--,10
Computer and information sciences,,,507,7.0,11
Personal and culinary services,,,--,--,12
Education,,,61,0.8,13
Engineering,,,950,13.1,14
Engineering technologies,,,--,--,15
"Foreign languages, literatures, and linguistics",,,129,1.8,16
Family and consumer sciences,,,--,--,19
Law/legal studies,,,--,--,22
English,,,86,1.2,23
Liberal arts/general studies,,,19,0.3,24
Library science,,,--,--,25
Biological/life sciences,,,891,12.3,26
Mathematics and statistics,,,183,2.5,27
Military science and military technologies,,,--,--,28 and 29
Interdisciplinary studies,,,136,1.9,30
Parks and recreation,,,--,--,31
CIP Discipline,,,N,PCT,CIP 2010
"",,,,,Categories to
"",,,,,Include
Philosophy and religious studies,,,68,0.9,38
Theology and religious vocations,,,--,--,39
Physical sciences,,,218,3.0,40
Science technologies,,,--,--,41
Psychology,,,567,7.8,42
"Homeland Security, law enforcement,",,,--,--,43
"firefighting, and protective services",,,,,
Public administration and social services,,,--,--,44
Social sciences,,,864,11.9,45
Construction trades,,,--,--,46
Mechanic and repair technologies,,,--,--,47
Precision production,--,--,48
Transportation and materials moving,--,--,49
CIP Discipline,N,PCT,CIP 2010
"",,,Categories to
"",,,Include
Visual and performing arts,207,2.9,50
Health professions and related programs,66,0.9,51
Business/marketing,"1,087",15.0,52
History,82,1.1,54
Other,,,
TOTAL (includes double majors),"7,273",100%,
